filingId,ticker,filingDate,actual7dReturn,actual30dReturn,epsSurprise,epsActual,consensusEPS,revenueSurprise,revenueActual,consensusRevenue,epsBeat,epsMiss,epsInline,largeBeat,largeMiss,surpriseMagnitude,riskScore,sentimentScore,concernLevel,revenue,netIncome,eps,assets,liabilities,profitMargin,debtToAssets,guidanceDirection,guidanceRaised,guidanceLowered,marketCap,ticker_date,target
cmj28h0l30cyrbomi3fbug2sx,FDX,2024-09-19,-0.1153705029509945,-0.0797196849474972,2.12,4.05,3.96598,,,,1,0,0,0,0,2.12,5.0,0.0,5.0,,,,,,,,not_provided,0,0,66588987392,FDX_2024-09-19,0
cmj28iirn0d7rbomivjk0ue0w,DRI,2024-09-27,-0.0363798792579585,-0.0478118423650314,0.34999999,2.03,2.02293,,,,0,0,1,0,0,0.34999999,4.5,0.0,6.2,,,,,,,,not_provided,0,0,22098231296,DRI_2024-09-27,0
cmj28ipel0d8ubomi52q656e2,CAG,2024-10-02,-0.1075794720794949,-0.1155256890471558,3.92,0.7,0.67358,,,,1,0,0,0,0,3.92,4.5,0.45,6.5,,,,,,,,not_provided,0,0,8572061696,CAG_2024-10-02,0
cmj28j13j0darbomisigaowjx,STZ,2024-10-03,-0.0596472018978264,-0.0895685612723014,-1.9199999,3.25,3.3135,,,,0,0,1,0,0,1.9199999,5.0,0.45,5.5,,,,,,,,not_provided,0,0,24320600064,STZ_2024-10-03,0
cmj28jati0dcfbomihyr5ky2h,CTAS,2024-10-04,0.0077242816303204,0.0052309559983675,7.13,1.09,1.01746,,,,1,0,0,0,0,7.13,5.0,0.0,5.0,,,,,,,,not_provided,0,0,75500838912,CTAS_2024-10-04,1
cmj28jd7d0dcubomi1ccpybmx,MBUU,2024-10-08,4.456546829069448,,73.6,0.31,0.17857,,,,1,0,0,1,0,73.6,6.5,0.45,6.5,,,,,,,,not_provided,0,0,561184448,MBUU_2024-10-08,1
cmj28jdlh0dcxbomi7it8j1dq,STZ,2024-10-08,1.518180344011376,,-1.9199999,3.25,3.3135,,,,0,0,1,0,0,1.9199999,3.5,0.75,4.2,,,,,,,,not_provided,0,0,24320600064,STZ_2024-10-08,1
cmj28jgyo0ddibomi882a4djv,HON,2024-10-08,1.67056418511359,,5.2800003,2.47,2.34617,,,,1,0,0,0,0,5.2800003,6.5,0.75,6.5,,,,,,,,not_provided,0,0,134699810816,HON_2024-10-08,1
cmj28jhj60ddlbomidcxhdplw,PEP,2024-10-08,0.0531666708491984,-0.0149512582956715,0.8999999999999999,1.96,1.94261,,,,0,0,1,0,0,0.8999999999999999,5.0,0.0,5.0,,,,,,,,not_provided,0,0,205471121408,PEP_2024-10-08,1
cmj28jlsu0decbomir2w82fzs,NWS,2024-10-09,3.107658643171632,,5.74,0.33,0.31208,,,,1,0,0,0,0,5.74,3.5,0.0,4.5,,,,,,,,not_provided,0,0,16491948032,NWS_2024-10-09,1
cmj28jju70de0bomi8fn3qtrb,BAX,2024-10-09,-0.7291397965549667,,9.62,0.58,0.52911,,,,1,0,0,0,0,9.62,8.5,0.35,7.2,,,,,,,,not_provided,0,0,9916137472,BAX_2024-10-09,0
cmj28jl920de9bomiaipx4fzo,APAM,2024-10-09,7.309593221586059,,10.82,1.05,0.9475,,,,1,0,0,1,0,10.82,2.5,0.0,3.5,,,,,,,,not_provided,0,0,2936166656,APAM_2024-10-09,1
cmj28jphb0dexbomigzzs1sgd,FIBK,2024-10-09,7.8390184641243055,,9.34,0.5,0.45728,,,,1,0,0,0,0,9.34,5.5,0.55,6.5,,,,,,,,not_provided,0,0,3676951552,FIBK_2024-10-09,1
